Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,Šempeter v Savinjski dolini,2018,11,Celjska
Samooskrba,Ljubno ob Savinji,2018,11,Celjska
Samooskrba,Ljubno ob Savinji,2018,3,Celjska
Samooskrba,Ljubečna,2018,11,Celjska
Samooskrba,Griže,2018,4,Celjska
Samooskrba,Podsreda,2018,11,Celjska
Samooskrba,Šmartno ob Paki,2018,5,Celjska
Samooskrba,Žalec,2018,11,Celjska
Samooskrba,Gornji Grad,2018,8.54,Celjska
Samooskrba,Štore,2018,7,Celjska
Samooskrba,Nova Cerkev,2018,10.83,Celjska
Samooskrba,Frankolovo,2018,11,Celjska
Samooskrba,Štore,2018,9.12,Celjska
Samooskrba,Polzela,2018,8.55,Celjska
Samooskrba,Braslovče,2018,11,Celjska
Samooskrba,Celje,2018,10.83,Celjska
Samooskrba,Rogaška Slatina,2018,11,Celjska
Samooskrba,Velenje,2018,5,Celjska
Samooskrba,Velenje,2018,11,Celjska
Samooskrba,Šmartno v Rožni dolini,2018,10,Celjska
Samooskrba,Šmartno ob Paki,2018,10,Celjska
Samooskrba,Grobelno,2018,7,Celjska
Samooskrba,Celje,2018,11,Celjska
Samooskrba,Žalec,2018,11,Celjska
Samooskrba,Podčetrtek,2018,5,Celjska
Samooskrba,Šentjur,2018,8,Celjska
Samooskrba,Braslovče,2018,10.44,Celjska
Samooskrba,Mozirje,2018,8,Celjska
Samooskrba,Rogaška Slatina,2018,11,Celjska
Samooskrba,Šentjur,2018,11,Celjska
Samooskrba,Rogaška Slatina,2018,11,Celjska
Samooskrba,Rogatec,2018,11,Celjska
Samooskrba,Dobrna,2018,11,Celjska
Samooskrba,Štore,2018,11,Celjska
Samooskrba,Petrovče,2018,11,Celjska
Samooskrba,Velenje,2018,11,Celjska
Samooskrba,Velenje,2018,10,Celjska
Samooskrba,Šoštanj,2018,11,Celjska
Samooskrba,Ponikva,2018,11,Celjska
Samooskrba,Kalobje,2018,11,Celjska
Samooskrba,Štore,2018,11,Celjska
Samooskrba,Dobrna,2018,11,Celjska
Samooskrba,Podsreda,2018,11,Celjska
Samooskrba,Šentjur,2018,9.97,Celjska
Samooskrba,Grobelno,2018,10.83,Celjska
Samooskrba,Rogaška Slatina,2018,10.8,Celjska
Samooskrba,Polzela,2018,9.07,Celjska
Samooskrba,Šentjur,2018,9.3,Celjska
Samooskrba,Podplat,2018,5.12,Celjska
